Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Dak Prescott,7,O,QB,7400,DAL,NYG,31.8,DAL by 9.5,-11%,-11%,-16%,54.0,50.3,36.7,4.8,8.4,4.3,4.0,4.4,1.3,5.4,0.0,0.0,0.0,0.0,0.0,64,39.9,34.3,34.3,22.3,46.3,0.0,0.0,14.4,1.9
Amari Cooper,13,,WR,7400,DAL,NYG,31.8,DAL by 9.5,-11%,-11%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,12.3,12.8,9.5,1.3,7.9,15,24.3,22.8,22.8,13.7,31.9,19.9,2.7,4.1,0.6
Kyler Murray,3,,QB,7200,ARI,@NYJ,26.8,ARI by 7,-4%,8%,-8%,34.7,36.0,33.9,4.5,6.4,6.3,8.0,7.4,1.5,8.3,0.0,0.0,0.0,0.0,0.0,66,27.3,27.3,27.3,23.2,31.4,24.0,3.3,30.3,4.2
DK Metcalf,3,,WR,7100,SEA,MIN,32.3,SEA by 7,17%,13%,25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,6.7,7.0,7.6,0.3,14.4,13,19.9,19.8,19.8,17.5,22.1,17.8,2.5,27.3,3.8
Stefon Diggs,1,,WR,7000,BUF,@TEN,,,3%,39%,-22%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,8.7,8.8,8.4,1.3,11.5,12,22.6,21.1,21.1,13.2,28.9,0.0,0.0,0.0,0.0
Derrick Henry,1,,RB,7000,TEN,BUF,,,12%,-15%,-13%,0.0,0.0,0.0,0.0,0.0,27.3,27.3,21.2,6.7,3.9,2.7,2.7,2.0,0.3,3.3,38,19.2,19.2,19.2,8.4,30.0,0.0,0.0,0.0,0.0
Adam Thielen,2,,WR,7000,MIN,@SEA,25.3,SEA by 7,61%,-37%,87%,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.2,0.0,6.0,7.7,7.8,8.9,1.0,9.2,14,15.9,20.4,20.4,7.1,33.7,18.1,2.6,29.3,4.2
Deshaun Watson,9,,QB,6900,HOU,JAX,30.0,HOU by 6,5%,16%,10%,32.0,32.0,34.8,3.8,8.5,3.7,4.3,4.7,0.5,3.4,0.0,0.0,0.0,0.0,0.0,64,19.2,19.9,19.9,16.2,23.6,25.0,3.6,29.9,4.3
Tyreek Hill,10,,WR,6900,KC,LV,34.5,KC by 13,0%,15%,-4%,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.1,0.0,11.3,7.7,7.3,8.4,1.0,9.9,13,19.8,18.8,18.8,15.5,22.0,19.5,2.8,18.3,2.7
James Conner,3,,RB,6900,PIT,PHI,25.3,PIT by 7,-3%,-9%,-8%,0.0,0.0,0.0,0.0,0.0,13.3,13.3,15.9,2.7,5.6,3.7,3.7,3.4,1.0,5.7,31,18.2,18.2,18.2,5.4,31.0,17.9,2.6,15.3,2.2
Tyler Lockett,3,,WR,6900,SEA,MIN,32.3,SEA by 7,17%,13%,25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,8.3,8.3,7.8,1.0,9.0,14,21.9,20.7,20.7,6.5,34.9,18.5,2.7,8.4,1.2
Clyde Edwards-Helaire,16,,RB,6800,KC,LV,34.5,KC by 13,0%,15%,50%,0.0,0.0,0.0,0.0,0.0,15.3,17.8,18.5,3.8,4.3,5.7,4.8,4.4,0.5,6.8,32,14.5,16.6,16.6,11.6,21.6,21.4,3.1,11.0,1.6
Julio Jones,1,Q,WR,6800,ATL,CAR,27.8,ATL by 1,-9%,5%,-13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.7,0.0,0.3,10.7,0,13.1,13.1,13.1,0.4,25.8,0.0,0.0,0.0,0.0
James Robinson,17,,RB,6700,JAX,@HOU,24.0,HOU by 6,-15%,52%,36%,0.0,0.0,0.0,0.0,0.0,14.7,15.0,17.8,1.3,4.8,4.7,3.8,3.1,0.3,10.7,33,23.2,19.9,19.9,10.5,29.3,17.7,2.6,11.0,1.6
JuJu Smith-Schuster,6,,WR,6700,PIT,PHI,25.3,PIT by 7,-3%,-9%,1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,8.1,1.0,8.4,13,17.7,17.7,17.7,11.0,24.3,15.6,2.3,6.8,1.0
Allen Robinson II,1,,WR,6700,CHI,TB,20.5,TB by 3.5,-1%,-46%,-4%,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,-1.0,10.7,10.3,10.2,1.0,8.1,16,21.2,19.0,19.0,7.3,30.7,16.9,2.5,19.0,2.8
George Kittle,11,,TE,6600,SF,MIA,29.3,SF by 9,14%,4%,-46%,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.5,8.5,10.0,10.0,8.7,1.5,11.3,14,26.2,26.2,26.2,2.3,50.1,17.9,2.7,8.4,1.3
Ben Roethlisberger,2,,QB,6600,PIT,PHI,25.3,PIT by 7,-3%,-9%,-10%,36.3,36.3,34.6,4.7,7.1,3.7,3.7,1.2,1.3,0.4,0.0,0.0,0.0,0.0,0.0,57,21.2,21.2,21.2,19.4,22.9,19.6,3.0,21.4,3.2
Will Fuller V,8,,WR,6600,HOU,JAX,30.0,HOU by 6,5%,16%,-13%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,4.0,5.5,7.2,0.8,12.5,12,13.7,15.9,15.9,4.4,27.3,16.1,2.4,15.8,2.4
Mike Evans,1,,WR,6600,TB,@CHI,24.0,TB by 3.5,-8%,-4%,-22%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,6.5,7.4,1.0,8.8,12,22.9,19.0,19.0,9.0,29.0,16.8,2.5,15.1,2.3
Jared Goff,2,,QB,6500,LAR,@WAS,26.0,LAR by 7,-17%,9%,7%,30.3,30.5,35.3,4.5,8.7,4.0,4.0,2.9,0.5,1.8,0.0,0.0,0.0,0.0,0.0,58,22.3,19.6,19.6,9.9,29.3,20.6,3.2,28.4,4.4
DJ Chark Jr.,8,Q,WR,6500,JAX,@HOU,24.0,HOU by 6,-15%,52%,-4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,5.3,5.3,7.9,1.0,12.8,13,17.8,17.8,17.8,7.7,27.9,16.1,2.5,4.6,0.7
Kareem Hunt,6,,RB,6500,CLE,IND,22.3,IND by 1.5,-36%,-36%,-35%,0.0,0.0,0.0,0.0,0.0,12.3,12.5,17.0,3.8,5.5,1.7,2.8,4.2,0.5,3.8,33,19.2,17.4,17.4,12.1,22.7,19.1,2.9,18.3,2.8
Cooper Kupp,5,,WR,6500,LAR,@WAS,26.0,LAR by 7,-17%,9%,-26%,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.3,0.0,5.7,7.7,7.0,7.9,0.8,10.6,12,20.1,17.1,17.1,8.4,25.8,16.9,2.6,11.6,1.8
Nick Chubb,,O,RB,6500,CLE,IND,22.3,IND by 1.5,-36%,-36%,-35%,0.0,0.0,0.0,0.0,0.0,15.7,14.3,1.9,2.8,5.9,0.7,0.8,0.3,0.0,5.7,3,20.2,16.8,16.8,3.6,30.0,0.0,0.0,0.0,0.0
Miles Sanders,0,,RB,6500,PHI,@PIT,18.3,PIT by 7,-6%,-55%,-53%,0.0,0.0,0.0,0.0,0.0,17.0,17.0,15.6,2.3,4.6,6.3,6.3,5.1,0.0,4.1,33,15.1,15.1,15.1,9.4,20.9,16.5,2.5,23.9,3.7
Odell Beckham Jr.,4,,WR,6400,CLE,IND,22.3,IND by 1.5,-36%,-36%,-14%,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.3,0.0,36.5,6.7,7.5,7.9,0.5,7.9,13,21.9,17.7,17.7,3.1,32.4,15.7,2.5,11.4,1.8
Melvin Gordon III,1,,RB,6400,DEN,@NE,,,-6%,-4%,-19%,0.0,0.0,0.0,0.0,0.0,16.7,16.3,16.1,2.0,4.3,4.0,3.8,3.5,0.5,3.0,30,17.7,17.4,17.4,8.8,26.0,0.0,0.0,0.0,0.0
Travis Kelce,13,,TE,6400,KC,LV,34.5,KC by 13,0%,15%,-49%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.3,8.5,1.3,9.0,12,16.2,16.4,16.4,10.6,22.3,18.4,2.9,27.8,4.3
Robert Woods,2,,WR,6400,LAR,@WAS,26.0,LAR by 7,-17%,9%,-26%,0.0,0.0,0.0,0.0,0.0,2.3,2.0,1.4,0.5,8.1,6.0,6.5,8.0,0.8,8.8,14,14.1,15.8,15.8,9.6,22.0,16.0,2.5,17.1,2.7
Mike Davis,14,,RB,6400,CAR,@ATL,26.8,ATL by 1,37%,-11%,15%,0.0,0.0,0.0,0.0,0.0,10.0,7.5,13.5,2.0,4.4,7.7,5.8,5.7,1.8,6.3,30,20.2,15.2,15.2,4.5,25.8,19.3,3.0,29.9,4.7
Chris Carson,3,,RB,6400,SEA,MIN,32.3,SEA by 7,17%,13%,8%,0.0,0.0,0.0,0.0,0.0,15.7,13.3,14.8,2.5,4.5,3.3,4.0,3.7,1.0,7.1,31,18.5,20.0,20.0,13.3,26.7,18.7,2.9,19.9,3.1
Keenan Allen,3,,WR,6400,LAC,@NO,21.5,NO by 7.5,-5%,-18%,-22%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,13.7,12.3,10.7,1.3,6.7,17,21.7,18.2,18.2,6.8,29.5,17.6,2.8,10.9,1.7
Joe Mixon,5,,RB,6300,CIN,@BAL,19.0,BAL by 13,8%,-18%,-13%,0.0,0.0,0.0,0.0,0.0,19.3,19.3,17.2,3.3,4.1,4.3,3.8,3.6,0.5,5.9,33,22.1,18.3,18.3,0.3,36.3,17.2,2.7,15.4,2.4
Josh Jacobs,8,,RB,6300,LV,@KC,21.5,KC by 13,-22%,35%,-2%,0.0,0.0,0.0,0.0,0.0,19.3,20.8,17.8,3.8,3.6,3.7,4.3,3.7,0.3,5.9,34,11.4,17.5,17.5,5.1,29.9,18.7,3.0,22.5,3.6
Marquise Brown,7,,WR,6300,BAL,CIN,32.0,BAL by 13,-3%,33%,-4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,6.7,6.5,6.3,0.0,9.3,10,8.4,10.8,10.8,4.6,17.0,14.7,2.3,19.8,3.1
Tom Brady,2,,QB,6300,TB,@CHI,24.0,TB by 3.5,-8%,-4%,-39%,39.7,38.8,36.1,6.8,7.2,3.0,3.0,0.9,0.5,0.5,0.0,0.0,0.0,0.0,0.0,59,23.7,23.4,23.4,12.8,33.9,19.0,3.0,14.1,2.2
Gardner Minshew II,2,,QB,6200,JAX,@HOU,24.0,HOU by 6,-15%,52%,-13%,42.3,36.8,37.6,6.3,7.7,3.0,3.5,3.4,0.0,4.9,0.0,0.0,0.0,0.0,0.0,64,21.5,21.4,21.4,13.9,28.8,20.4,3.3,23.8,3.8
Tyler Boyd,5,,WR,6200,CIN,@BAL,19.0,BAL by 13,8%,-18%,-3%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,4.0,9.7,8.5,8.8,0.5,9.4,14,20.7,17.3,17.3,9.7,25.0,15.2,2.5,8.2,1.3
Jonathan Taylor,5,,RB,6200,IND,@CLE,23.8,IND by 1.5,24%,-24%,-9%,0.0,0.0,0.0,0.0,0.0,18.7,16.3,17.4,4.0,3.8,1.3,2.5,2.8,0.5,9.0,33,14.7,14.8,14.8,9.3,20.2,17.2,2.8,15.4,2.5
Mark Andrews,6,,TE,6200,BAL,CIN,32.0,BAL by 13,-3%,33%,-9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.0,6.4,1.5,8.3,10,9.9,13.1,13.1,3.2,23.1,14.3,2.3,17.6,2.8
Austin Ekeler,,O,RB,6200,LAC,@NO,21.5,NO by 7.5,-5%,-18%,-6%,0.0,0.0,0.0,0.0,0.0,10.0,12.3,0.0,1.3,5.1,5.3,4.3,0.0,0.5,8.5,0,17.5,15.6,15.6,3.1,28.0,0.0,0.0,0.0,0.0
Raheem Mostert,4,,RB,6100,SF,MIA,29.3,SF by 9,14%,4%,19%,0.0,0.0,0.0,0.0,0.0,11.5,11.5,12.5,1.0,6.4,3.5,3.5,2.1,0.0,15.7,23,21.9,21.9,21.9,17.4,26.4,13.9,2.3,14.9,2.4
Matt Ryan,7,,QB,6100,ATL,CAR,27.8,ATL by 1,-9%,5%,-18%,37.7,41.8,38.9,5.8,7.5,2.3,2.0,1.4,0.8,3.0,0.0,0.0,0.0,0.0,0.0,62,17.8,20.3,20.3,11.2,29.4,21.6,3.5,7.9,1.3
Terry McLaurin,5,,WR,6100,WAS,LAR,19.0,LAR by 7,-8%,3%,-15%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,3.0,10.7,9.8,9.5,0.8,9.9,15,22.0,19.3,19.3,10.6,27.9,16.1,2.6,5.6,0.9
Drew Brees,1,,QB,6100,NO,LAC,29.0,NO by 7.5,5%,-7%,19%,33.0,32.3,33.4,6.3,7.8,1.0,1.3,0.7,0.3,-0.6,0.0,0.0,0.0,0.0,0.0,56,19.5,18.2,18.2,14.3,22.1,20.1,3.3,25.1,4.1
Chris Godwin,,Q,WR,6100,TB,@CHI,24.0,TB by 3.5,-8%,-4%,-22%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.0,1.5,11.0,0,15.6,15.6,15.6,13.2,18.1,0.0,0.0,0.0,0.0
Joe Burrow,1,,QB,6000,CIN,@BAL,19.0,BAL by 13,8%,-18%,10%,47.0,44.3,36.3,7.0,6.3,4.0,5.0,5.2,0.8,3.8,0.0,0.0,0.0,0.0,0.0,65,23.7,22.1,22.1,17.1,27.1,19.3,3.2,6.3,1.1
Ryan Tannehill,0,,QB,6000,TEN,BUF,,,12%,-15%,15%,34.7,34.7,32.2,4.3,7.8,3.7,3.7,3.7,0.0,3.2,0.3,0.3,0.0,0.0,0.0,59,21.0,21.0,21.0,15.8,26.1,0.0,0.0,0.0,0.0
CeeDee Lamb,7,,WR,6000,DAL,NYG,31.8,DAL by 9.5,-11%,-11%,0%,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.1,0.0,4.3,7.3,7.0,6.8,0.8,11.0,11,19.1,17.1,17.1,10.1,24.0,14.3,2.4,23.4,3.9
DJ Moore,13,,WR,6000,CAR,@ATL,26.8,ATL by 1,37%,-11%,11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,7.7,8.0,8.6,0.3,9.0,15,13.5,12.4,12.4,5.4,19.5,16.0,2.7,19.3,3.2
Justin Herbert,4,,QB,6000,LAC,@NO,21.5,NO by 7.5,-5%,-18%,12%,35.7,35.7,35.1,3.7,8.7,4.0,4.0,3.6,0.7,3.9,0.0,0.0,0.0,0.0,0.0,63,23.3,23.3,23.3,20.0,26.6,19.3,3.2,27.4,4.6
Nick Foles,,,QB,6000,CHI,TB,20.5,TB by 3.5,-1%,-46%,-15%,35.5,35.5,36.0,5.0,6.2,2.5,2.5,2.7,0.5,-0.8,0.0,0.0,0.0,0.0,0.0,62,15.5,15.5,15.5,11.7,19.3,16.6,2.8,12.6,2.1
Robby Anderson,15,,WR,5900,CAR,@ATL,26.8,ATL by 1,37%,-11%,11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,9.0,8.8,8.0,1.3,10.8,13,16.8,19.7,19.7,12.2,27.2,16.0,2.7,22.5,3.8
Teddy Bridgewater,12,,QB,5900,CAR,@ATL,26.8,ATL by 1,37%,-11%,71%,35.7,35.3,37.9,5.3,8.1,2.7,3.0,3.6,1.3,5.8,0.0,0.0,0.0,0.0,0.0,65,18.8,19.0,19.0,13.0,24.9,20.7,3.5,23.8,4.0
Darren Waller,11,,TE,5900,LV,@KC,21.5,KC by 13,-22%,35%,-19%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,10.0,8.2,1.8,6.1,13,17.0,15.4,15.4,3.3,27.4,15.2,2.6,15.8,2.7
DeVante Parker,4,,WR,5900,MIA,@SF,20.3,SF by 9,-26%,-7%,-14%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,7.3,8.4,0.3,9.6,14,17.4,15.2,15.2,8.6,21.9,15.6,2.6,13.0,2.2
Devin Singletary,0,,RB,5900,BUF,@TEN,,,3%,39%,-9%,0.0,0.0,0.0,0.0,0.0,13.7,12.5,15.2,2.5,4.2,4.7,5.3,3.9,0.8,5.4,27,14.8,13.7,13.7,9.2,18.1,0.0,0.0,0.0,0.0
Kirk Cousins,2,,QB,5900,MIN,@SEA,25.3,SEA by 7,61%,-37%,52%,25.0,25.0,34.9,2.0,8.8,2.0,2.5,2.1,0.0,5.3,0.0,0.0,0.0,0.0,0.0,59,12.6,15.2,15.2,5.4,24.9,18.8,3.2,16.2,2.7
Jamison Crowder,4,,WR,5800,NYJ,ARI,19.8,ARI by 7,-5%,4%,-24%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,11.5,11.5,9.7,0.5,9.5,15,23.9,23.9,23.9,18.9,29.0,15.3,2.6,28.6,4.9
Jerick McKinnon,5,,RB,5800,SF,MIA,29.3,SF by 9,14%,4%,19%,0.0,0.0,0.0,0.0,0.0,10.3,8.5,7.9,2.3,5.7,4.3,4.5,3.8,0.8,5.7,18,17.7,16.6,16.6,12.3,20.9,12.7,2.2,2.5,0.4
Philip Rivers,2,,QB,5800,IND,@CLE,23.8,IND by 1.5,24%,-24%,35%,25.0,30.3,34.2,5.0,8.1,2.3,2.0,0.7,0.8,0.3,0.0,0.0,0.0,0.0,0.0,56,11.9,13.9,13.9,9.9,17.9,17.8,3.1,7.6,1.3
Ronald Jones II,1,,RB,5800,TB,@CHI,24.0,TB by 3.5,-8%,-4%,-6%,0.0,0.0,0.0,0.0,0.0,13.3,14.3,17.4,2.5,4.4,5.0,4.5,3.6,0.8,3.2,33,13.9,13.0,13.0,7.1,18.9,17.0,2.9,18.5,3.2
Tyrod Taylor,,O,QB,5800,LAC,@NO,21.5,NO by 7.5,-5%,-18%,12%,30.0,30.0,0.0,4.0,6.9,6.0,6.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0
Baker Mayfield,0,Q,QB,5700,CLE,IND,22.3,IND by 1.5,-36%,-36%,-46%,25.3,28.8,32.9,2.8,6.3,2.3,2.3,1.9,0.0,1.7,0.0,0.0,0.0,0.0,0.0,54,15.3,14.2,14.2,11.8,16.5,17.6,3.1,17.6,3.1
Todd Gurley II,10,,RB,5700,ATL,CAR,27.8,ATL by 1,-9%,5%,47%,0.0,0.0,0.0,0.0,0.0,17.0,16.3,15.9,4.8,3.9,1.0,2.0,3.4,0.0,1.1,30,13.5,13.6,13.6,8.1,19.1,16.4,2.9,28.0,4.9
Julian Edelman,0,Q,WR,5700,NE,DEN,,,3%,-9%,21%,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.4,0.0,11.0,7.7,7.5,8.2,1.0,9.8,11,13.2,13.2,13.2,2.0,24.3,0.0,0.0,0.0,0.0
Zach Ertz,2,,TE,5700,PHI,@PIT,18.3,PIT by 7,-6%,-55%,-40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,7.3,7.8,0.5,4.8,12,10.0,10.2,10.2,7.2,13.2,12.5,2.2,1.6,0.3
Kenyan Drake,4,,RB,5700,ARI,@NYJ,26.8,ARI by 7,-4%,8%,21%,0.0,0.0,0.0,0.0,0.0,17.0,16.8,15.0,3.0,3.8,1.0,1.3,4.0,0.0,4.0,31,8.0,9.6,9.6,4.9,14.3,14.4,2.5,13.2,2.3
Ryan Fitzpatrick,0,,QB,5600,MIA,@SF,20.3,SF by 9,-26%,-7%,-11%,37.3,35.5,36.5,3.5,7.0,5.3,5.3,5.2,1.8,5.5,0.3,0.3,0.0,0.0,0.0,67,26.3,21.8,21.8,12.9,30.8,18.5,3.3,30.6,5.5
Carson Wentz,,,QB,5600,PHI,@PIT,18.3,PIT by 7,-6%,-55%,-31%,39.3,40.0,36.6,3.0,5.8,6.0,4.8,3.9,1.3,5.8,0.0,0.0,0.0,0.0,0.0,64,20.1,19.1,19.1,14.5,23.6,17.0,3.0,19.4,3.5
Tyler Higbee,0,,TE,5600,LAR,@WAS,26.0,LAR by 7,-17%,9%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.8,4.6,0.8,10.3,7,13.8,12.1,12.1,1.2,23.0,10.3,1.8,3.2,0.6
Diontae Johnson,10,Q,WR,5600,PIT,PHI,25.3,PIT by 7,-3%,-9%,1%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.3,9.0,8.3,8.3,7.4,0.3,6.0,13,11.6,11.6,11.6,0.4,22.8,14.4,2.6,0.8,0.1
Joshua Kelley,3,,RB,5600,LAC,@NO,21.5,NO by 7.5,-5%,-18%,-6%,0.0,0.0,0.0,0.0,0.0,13.3,13.0,14.0,2.5,3.3,2.7,2.0,1.0,0.0,10.5,24,8.3,9.2,9.2,5.2,13.2,12.6,2.3,4.8,0.9
Jimmy Garoppolo,3,Q,QB,5500,SF,MIA,29.3,SF by 9,14%,4%,20%,24.5,24.5,33.3,6.0,8.0,0.5,0.5,1.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,54,16.3,16.3,16.3,12.0,20.5,19.3,3.5,1.1,0.2
Sam Darnold,,Q,QB,5500,NYJ,ARI,19.8,ARI by 7,-5%,4%,-6%,34.3,34.5,0.0,3.0,5.7,4.3,3.5,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0,15.1,14.3,14.3,8.1,20.6,0.0,0.0,0.0,0.0
Alshon Jeffery,,Q,WR,5500,PHI,@PIT,18.3,PIT by 7,-6%,-55%,-16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Jefferson,2,,WR,5500,MIN,@SEA,25.3,SEA by 7,61%,-37%,87%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.0,7.0,0.3,17.4,11,19.4,15.7,15.7,2.6,28.8,14.3,2.6,5.3,1.0
Noah Fant,1,Q,TE,5400,DEN,@NE,,,-6%,-4%,-38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.8,1.7,1.3,8.1,3,11.9,13.7,13.7,8.3,19.2,0.0,0.0,0.0,0.0
Daniel Jones,7,,QB,5400,NYG,@DAL,22.3,DAL by 9.5,3%,44%,15%,36.0,37.3,38.6,6.8,6.0,4.7,4.5,5.1,0.0,7.6,0.0,0.0,0.0,0.0,0.0,68,10.3,12.6,12.6,8.0,17.1,19.6,3.6,9.2,1.7
Michael Gallup,6,,WR,5400,DAL,NYG,31.8,DAL by 9.5,-11%,-11%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.0,6.3,0.3,11.5,10,13.8,12.4,12.4,1.3,23.4,13.7,2.5,11.3,2.1
