Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Christian McCaffrey,,O,RB,8600,CAR,@ATL,26.8,ATL by 1,37%,-11%,15%,0.0,0.0,0.0,0.0,0.0,20.5,20.5,0.0,6.0,3.8,4.5,4.5,0.0,0.0,7.4,0,26.6,26.6,26.6,24.1,29.1,0.0,0.0,0.0,0.0
Alvin Kamara,4,,RB,8200,NO,LAC,29.0,NO by 7.5,5%,-7%,-12%,0.0,0.0,0.0,0.0,0.0,12.7,12.5,11.9,3.8,4.7,9.0,8.8,8.5,2.0,9.2,34,35.7,32.7,32.7,20.1,45.3,26.5,3.2,19.9,2.4
DeAndre Hopkins,9,,WR,7900,ARI,@NYJ,26.8,ARI by 7,-4%,8%,-9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.0,11.5,10.7,1.5,8.6,18,19.5,22.7,22.7,13.7,31.7,20.5,2.6,28.1,3.6
Lamar Jackson,5,,QB,7900,BAL,CIN,32.0,BAL by 13,-3%,33%,-10%,24.3,24.5,29.4,4.5,7.9,10.7,9.8,9.3,1.5,6.0,0.0,0.0,0.0,0.0,0.0,62,19.6,21.6,21.6,15.5,27.7,25.8,3.3,14.5,1.8
Ezekiel Elliott,11,,RB,7800,DAL,NYG,31.8,DAL by 9.5,-11%,-11%,2%,0.0,0.0,0.0,0.0,0.0,16.0,17.5,18.9,4.3,3.9,9.0,7.8,5.1,0.5,5.1,38,20.8,22.6,22.6,18.4,26.7,22.1,2.8,23.5,3.0
Patrick Mahomes,9,,QB,7700,KC,LV,34.5,KC by 13,0%,15%,-8%,39.3,37.5,36.1,5.3,7.6,6.0,4.5,3.8,0.8,6.0,0.0,0.0,0.0,0.0,0.0,56,31.2,28.5,28.5,17.8,39.3,30.3,3.9,33.7,4.4
Russell Wilson,5,,QB,7600,SEA,MIN,32.3,SEA by 7,17%,13%,4%,34.0,34.3,34.8,5.3,9.4,5.0,4.5,4.1,0.0,5.3,0.0,0.0,0.0,0.0,0.0,66,33.0,33.5,33.5,27.3,39.7,29.6,3.9,25.5,3.4
Dalvin Cook,3,Q,RB,7600,MIN,@SEA,25.3,SEA by 7,61%,-37%,-32%,0.0,0.0,0.0,0.0,0.0,21.0,18.8,17.5,3.8,5.7,3.0,2.8,4.1,0.0,3.6,34,26.2,25.1,25.1,18.3,31.9,20.2,2.7,19.9,2.6
Michael Thomas,1,O,WR,7600,NO,LAC,29.0,NO by 7.5,5%,-7%,-1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,3.4,0,4.7,4.7,4.7,4.7,4.7,0.0,0.0,0.0,0.0
Josh Allen,1,,QB,7500,BUF,@TEN,,,3%,39%,-24%,34.0,37.0,36.7,8.5,9.0,3.7,6.3,6.5,1.8,3.3,0.0,0.0,0.0,0.0,0.0,61,33.0,33.1,33.1,27.7,38.5,0.0,0.0,0.0,0.0
Calvin Ridley,5,,WR,7500,ATL,CAR,27.8,ATL by 1,-9%,5%,-13%,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.4,0.3,3.0,9.3,10.0,9.0,2.0,8.7,14,17.5,22.4,22.4,5.7,39.0,18.9,2.5,24.6,3.3
